group_id,Output,difference
1,Position,
2,Grasp ,0.4
3,Position,0.3666666666666667
4,Grasp ,0.033333333333333215
5,Position,0.06666666666666676
6,Grasp ,0.10000000000000009
7,Reach ,0.16666666666666652
8,Position,1.2000000000000002
9,Grasp ,0.033333333333333215
10,Position,0.033333333333333215
11,Grasp ,0.43333333333333357
12,Position,0.033333333333333215
13,Grasp ,0.3666666666666667
14,Position,0.10000000000000009
15,Grasp ,0.033333333333333215
16,Position,1.2333333333333334
17,Move,0.5333333333333332
18,Reach ,0.06666666666666643
19,Move,0.033333333333333215
20,Reach ,0.0333333333333341
21,Move,0.033333333333333215
22,Position,0.4333333333333327
23,Grasp ,0.10000000000000053
24,Position,0.2999999999999998
25,Reach ,0.5333333333333332
26,Grasp ,0.10000000000000053
27,Release,0.06666666666666643
28,Grasp ,0.033333333333333215
29,Reach ,0.06666666666666643
30,Release,0.033333333333333215
31,Reach ,0.20000000000000018
32,Move,0.06666666666666643
33,Reach ,0.0333333333333341
34,Move,0.06666666666666643
35,Position,0.06666666666666643
36,Release,1.0
37,Position,0.4666666666666668
38,Release,0.03333333333333144
39,Move,0.26666666666666927
40,Reach ,0.09999999999999964
41,Move,0.033333333333333215
42,Grasp ,0.3333333333333339
43,Position,0.09999999999999964
44,Move,0.5
45,Reach ,0.43333333333333357
46,Release,0.06666666666666643
47,Position,0.13333333333333286
48,Grasp ,0.03333333333333144
49,Position,0.10000000000000142
50,Move,0.0
51,Position,0.033333333333333215
52,Move,0.033333333333333215
53,Position,0.0666666666666682
54,Move,0.0
55,Position,0.033333333333333215
56,Move,0.0
57,Position,0.06666666666666643
58,Release,0.033333333333333215
59,Position,0.09999999999999964
60,Grasp ,0.03333333333333144
61,Position,1.366666666666669
62,Grasp ,1.0666666666666682
63,Position,0.09999999999999787
64,Grasp ,0.033333333333333215
65,Position,1.1666666666666679
66,Reach ,0.3999999999999986
67,Grasp ,0.06666666666666643
68,Position,0.5000000000000018
69,Reach ,0.966666666666665
70,Release,0.03333333333333499
71,Position,0.1666666666666643
72,Grasp ,0.03333333333333499
73,Position,0.23333333333333428
74,Grasp ,0.03333333333333144
75,Position,2.0666666666666664
76,Grasp ,0.10000000000000142
77,Position,0.03333333333333144
78,Grasp ,0.06666666666666643
79,Position,1.4000000000000021
